Date,Type,Route Name,Distance (km),Duration,Average Pace,Average Speed (km/h),Calories Burned,Climb (m),Average Heart Rate (bpm),Notes,GPX File
2017-11-17 08:44:33,Running,,4.18,22:03,5:17,11.37,359.0,0,,,2017-11-17-0844.gpx
2017-11-16 06:49:51,Running,,3.85,20:12,5:15,11.44,333.0,1,,,2017-11-16-0649.gpx
2017-11-15 05:54:03,Running,,4.30,22:53,5:19,11.29,373.0,4,,,2017-11-15-0554.gpx
2017-11-14 07:55:41,Running,,7.10,32:38,4:36,13.05,609.0,3,,,2017-11-14-0755.gpx
2017-11-13 07:20:02,Running,,7.86,40:27,5:09,11.66,679.0,8,,,2017-11-13-0720.gpx
2017-11-12 08:04:46,Running,,2.01,11:17,5:37,10.69,173.0,0,,,2017-11-12-0804.gpx
2017-11-11 07:52:26,Running,,42.22,3:40:45,5:14,11.48,3654.0,48,,,2017-11-11-0752.gpx
2017-11-10 09:22:55,Running,,3.69,18:57,5:08,11.69,320.0,3,,,2017-11-10-0922.gpx
2017-11-09 07:37:19,Running,,3.69,18:47,5:06,11.77,319.0,2,,,2017-11-09-0737.gpx
2017-11-08 08:24:25,Running,,3.60,18:12,5:03,11.86,313.0,4,,,2017-11-08-0824.gpx
2017-11-07 05:20:04,Running,,8.75,45:14,5:10,11.60,755.0,3,,,2017-11-07-0520.gpx
2017-11-06 05:42:06,Running,,5.87,29:39,5:03,11.87,502.0,3,,,2017-11-06-0542.gpx
2017-11-05 07:14:04,Running,,6.42,31:07,4:51,12.39,551.0,1,,,2017-11-05-0714.gpx
2017-11-04 08:49:24,Running,,7.47,38:07,5:06,11.76,646.0,4,,,2017-11-04-0849.gpx
2017-11-03 06:12:41,Running,,8.50,44:28,5:14,11.46,729.0,3,,"",2017-11-03-0612.gpx
2017-11-02 07:21:17,Running,,2.65,13:56,5:16,11.40,229.0,0,,,2017-11-02-0721.gpx
2017-11-01 08:18:00,Running,,7.57,39:03,5:09,11.64,651.0,4,,,2017-11-01-0818.gpx
2017-10-31 06:22:05,Running,,9.02,44:42,4:57,12.11,779.0,9,,,2017-10-31-0622.gpx
2017-10-30 07:47:44,Running,,9.18,47:53,5:13,11.51,796.0,8,,,2017-10-30-0747.gpx
2017-10-29 07:02:42,Running,,31.42,2:44:06,5:13,11.49,2718.0,35,,,2017-10-29-0702.gpx
